timestamp,cpu_usage_percent,gpu_usage_percent,memory_percent,disk_read,disk_write,past_cpu,past_gpu,past_memory,future_cpu,future_gpu,future_memory
1763425538.9962146,7.5,3,78.5,13676392,1688630,7.9,3.0,78.4,7.5,4,78.4
1763425544.0418022,7.5,4,78.4,13676401,1688719,7.5,3.0,78.5,6.9,3,78.4
1763425549.0918982,6.9,3,78.4,13676549,1688766,7.5,4.0,78.4,4.7,0,78.4
1763425554.1464942,4.7,0,78.4,13676549,1688799,6.9,3.0,78.4,7.6,1,78.7
1763425559.2065983,7.6,1,78.7,13676553,1688839,4.7,0.0,78.4,8.5,0,79.4
1763425564.262195,8.5,0,79.4,13676553,1688908,7.6,1.0,78.7,9.7,0,80.0
1763425569.3257995,9.7,0,80.0,13676602,1688997,8.5,0.0,79.4,5.6,3,80.2
1763425574.3869057,5.6,3,80.2,13676607,1689073,9.7,0.0,80.0,6.4,5,80.4
1763425579.4394999,6.4,5,80.4,13676650,1689136,5.6,3.0,80.2,5.6,2,80.6
1763425584.5036085,5.6,2,80.6,13676661,1689175,6.4,5.0,80.4,5.2,1,79.7
1763425589.5441916,5.2,1,79.7,13676661,1689279,5.6,2.0,80.6,11.9,3,79.9
1763425594.5972905,11.9,3,79.9,13676661,1689337,5.2,1.0,79.7,5.7,0,79.9
1763425599.6388752,5.7,0,79.9,13676661,1689374,11.9,3.0,79.9,4.7,0,79.9
1763425604.6929748,4.7,0,79.9,13676661,1689429,5.7,0.0,79.9,4.8,3,79.9
1763425609.7345593,4.8,3,79.9,13676661,1689480,4.7,0.0,79.9,6.8,0,80.0
1763425614.7976663,6.8,0,80.0,13676661,1689515,4.8,3.0,79.9,4.2,3,80.0
1763425619.8522618,4.2,3,80.0,13676661,1689553,6.8,0.0,80.0,8.4,0,80.0
1763425624.8973556,8.4,0,80.0,13676661,1689584,4.2,3.0,80.0,6.3,0,80.2
1763425629.9419422,6.3,0,80.2,13676661,1689668,8.4,0.0,80.0,4.8,0,80.2
1763425634.9890354,4.8,0,80.2,13676661,1689711,6.3,0.0,80.2,6.9,2,80.3
1763425640.041629,6.9,2,80.3,13676661,1689747,4.8,0.0,80.2,6.6,1,80.7
1763425645.097731,6.6,1,80.7,13676703,1689805,6.9,2.0,80.3,3.1,0,80.7
1763425650.154329,3.1,0,80.7,13676791,1689934,6.6,1.0,80.7,10.8,4,80.6
1763425655.2044263,10.8,4,80.6,13676801,1690011,3.1,0.0,80.7,4.1,0,80.6
1763425660.2530172,4.1,0,80.6,13676813,1690088,10.8,4.0,80.6,3.9,0,79.8
1763425665.2961073,3.9,0,79.8,13676813,1690183,4.1,0.0,80.6,3.1,0,79.7
1763425670.3416953,3.1,0,79.7,13676813,1690230,3.9,0.0,79.8,2.3,0,79.7
1763425675.3897924,2.3,0,79.7,13676813,1690316,3.1,0.0,79.7,2.6,0,79.7
1763425680.4323769,2.6,0,79.7,13676813,1690345,2.3,0.0,79.7,6.0,0,79.7
1763425685.4804718,6.0,0,79.7,13676813,1690382,2.6,0.0,79.7,4.5,0,80.0
1763425690.523057,4.5,0,80.0,13676813,1690486,6.0,0.0,79.7,4.8,1,80.0
1763425695.5636497,4.8,1,80.0,13676813,1690533,4.5,0.0,80.0,4.4,0,79.5
1763425700.619246,4.4,0,79.5,13676813,1690570,4.8,1.0,80.0,2.9,0,79.4
1763425705.66734,2.9,0,79.4,13676813,1690609,4.4,0.0,79.5,5.3,0,79.1
1763425710.7069228,5.3,0,79.1,13676893,1690668,2.9,0.0,79.4,5.7,3,79.1
1763425715.7610226,5.7,3,79.1,13676894,1690729,5.3,0.0,79.1,6.2,4,79.3
1763425720.8096128,6.2,4,79.3,13676894,1690789,5.7,3.0,79.1,6.5,0,79.4
1763425725.862712,6.5,0,79.4,13676894,1690858,6.2,4.0,79.3,4.8,3,79.3
1763425730.925315,4.8,3,79.3,13676895,1690916,6.5,0.0,79.4,6.3,3,79.2
1763425735.9889188,6.3,3,79.2,13676895,1690961,4.8,3.0,79.3,3.5,1,79.2
1763425741.032009,3.5,1,79.2,13676895,1690995,6.3,3.0,79.2,7.5,4,79.3
1763425746.0745945,7.5,4,79.3,13676895,1691040,3.5,1.0,79.2,8.2,3,79.6
1763425751.1246917,8.2,3,79.6,13676898,1691145,7.5,4.0,79.3,8.8,0,79.5
1763425756.1722813,8.8,0,79.5,13676901,1691197,8.2,3.0,79.6,6.0,3,79.4
1763425761.2213762,6.0,3,79.4,13676901,1691284,8.8,0.0,79.5,6.8,0,79.6
1763425766.270968,6.8,0,79.6,13676901,1691332,6.0,3.0,79.4,3.4,0,79.1
1763425771.3160589,3.4,0,79.1,13676901,1691372,6.8,0.0,79.6,8.1,0,79.3
1763425776.3566422,8.1,0,79.3,13676901,1691422,3.4,0.0,79.1,2.9,0,79.3
1763425781.4037347,2.9,0,79.3,13676902,1691465,8.1,0.0,79.3,4.5,0,79.2
1763425786.4543276,4.5,0,79.2,13676903,1691527,2.9,0.0,79.3,7.0,0,79.2
1763425791.4974172,7.0,0,79.2,13676903,1691568,4.5,0.0,79.2,7.5,4,79.2
1763425796.550011,7.5,4,79.2,13676903,1691603,7.0,0.0,79.2,6.7,4,79.4
1763425801.594102,6.7,4,79.4,13676903,1691640,7.5,4.0,79.2,9.9,3,79.7
1763425806.637688,9.9,3,79.7,13676903,1691735,6.7,4.0,79.4,9.9,3,80.0
1763425811.6887844,9.9,3,80.0,13676903,1691817,9.9,3.0,79.7,6.5,1,80.4
1763425816.7333708,6.5,1,80.4,13677003,1691970,9.9,3.0,80.0,3.1,0,80.6
1763425821.77646,3.1,0,80.6,13678257,1692246,6.5,1.0,80.4,2.8,1,80.0
1763425826.8230486,2.8,1,80.0,13678270,1692630,3.1,0.0,80.6,5.5,0,80.7
1763425831.8691416,5.5,0,80.7,13678395,1692916,2.8,1.0,80.0,4.9,1,80.7
1763425836.9197338,4.9,1,80.7,13678478,1693150,5.5,0.0,80.7,5.1,0,80.2
1763425841.9838424,5.1,0,80.2,13678488,1693294,4.9,1.0,80.7,3.7,0,80.2
1763425847.0284295,3.7,0,80.2,13678518,1693535,5.1,0.0,80.2,2.1,0,80.3
1763425852.077524,2.1,0,80.3,13678526,1693652,3.7,0.0,80.2,3.4,0,80.3
1763425857.1341214,3.4,0,80.3,13678538,1693752,2.1,0.0,80.3,6.1,1,80.6
1763425862.2052383,6.1,1,80.6,13678646,1693931,3.4,0.0,80.3,3.2,1,80.6
1763425867.2548304,3.2,1,80.6,13678651,1694039,6.1,1.0,80.6,8.0,1,80.8
1763425872.3099308,8.0,1,80.8,13678767,1694172,3.2,1.0,80.6,9.3,3,80.9
1763425877.385546,9.3,3,80.9,13678800,1694362,8.0,1.0,80.8,9.4,3,80.7
1763425882.4426486,9.4,3,80.7,13678817,1694469,9.3,3.0,80.9,8.7,0,80.7
1763425887.4962435,8.7,0,80.7,13678817,1694532,9.4,3.0,80.7,12.0,2,80.6
1763425892.5518405,12.0,2,80.6,13678827,1694571,8.7,0.0,80.7,8.3,0,80.7
1763425897.60494,8.3,0,80.7,13678835,1694628,12.0,2.0,80.6,6.8,0,80.7
1763425902.659536,6.8,0,80.7,13678847,1694670,8.3,0.0,80.7,7.0,4,80.7
